公司代號,year_quarter,季均價
1464,2018Q2,21.13
1464,2019Q2,25.43
1464,2019Q4,22.555
1464,NaT,19.34
1465,2016Q2,12.96
1465,2016Q3,12.84
1465,2017Q3,15.6525
1465,2017Q4,14.52
1465,2018Q1,14.12
1465,2018Q2,13.83
1465,2019Q2,14.74
1465,NaT,14.4
1466,2016Q4,12.343333333333334
1466,2017Q1,11.88
1466,2017Q2,10.93
1466,2017Q3,10.59
1466,2018Q1,10.295000000000002
1466,2018Q2,9.5
1466,2018Q3,9.0
1466,2018Q4,7.96
1466,2019Q1,7.59
1466,2019Q2,6.51
1466,NaT,19.096666666666668
1467,2016Q3,10.67
1467,2016Q4,10.46
1467,2017Q4,11.94
1467,2018Q1,11.245000000000001
1467,2018Q2,9.31
1467,2018Q3,9.36
1467,2018Q4,8.61
1467,2019Q2,7.775
1467,NaT,20.763333333333335
1468,2016Q3,10.6
1468,2017Q2,10.08
1468,2018Q2,10.03
1468,2018Q3,10.2875
1468,2018Q4,10.02
1468,2019Q1,9.98
1468,2019Q3,9.45
1468,NaT,13.700000000000001
1469,2016Q3,13.74
1469,2017Q1,13.73
1469,2017Q4,14.12
1469,2018Q1,13.870000000000001
1470,2016Q3,18.54
1470,2017Q1,18.27
1470,2017Q2,17.68
1470,2018Q2,18.785
1470,2018Q4,17.78
1470,2019Q1,21.9775
1470,2020Q1,19.47
1470,NaT,18.45
1471,2017Q1,5.32
1471,2018Q1,6.4975
1471,2018Q2,5.81
1471,2018Q3,4.43
1471,2019Q1,3.81
1472,2016Q3,13.145
1472,2017Q3,20.92
1472,2017Q4,34.004999999999995
1472,2018Q1,28.53
1472,2018Q2,32.69
1472,2018Q3,34.52
1472,2019Q1,30.490000000000002
1472,2019Q2,9.4
1472,NaT,13.77
1473,2016Q2,28.3
1473,2016Q3,26.08
1473,2016Q4,24.45
1473,2017Q1,23.58
1473,2017Q2,23.62
1473,2017Q3,21.18
1473,2018Q1,18.725
1473,2018Q2,19.67
1473,2019Q2,26.45
1473,2020Q1,27.56
1473,NaT,19.136666666666667
1474,2016Q4,11.523333333333333
1474,2017Q3,11.45
1474,2018Q2,12.23
1474,2018Q3,10.5925
1474,2018Q4,8.99
1474,2019Q1,9.59
1474,2020Q1,9.25
1474,NaT,14.076666666666666
1475,2016Q3,10.08
1475,2017Q2,19.92
1475,2017Q3,38.49
1475,2017Q4,54.49
1476,2016Q2,309.26
1476,2016Q3,345.3
1476,2016Q4,362.32
1476,2017Q3,327.37
1476,2018Q3,365.66999999999996
1476,2019Q1,404.4
1476,2019Q2,369.9075
1476,NaT,367.6666666666667
1477,2016Q2,126.87
1477,2016Q3,142.17
1477,2016Q4,137.76
1477,2017Q3,130.62333333333333
1477,2018Q3,151.76
1477,2018Q4,164.46
1477,2019Q1,201.84
1477,2019Q2,163.775
1477,NaT,177.31000000000003
1503,2017Q1,41.415
1503,2017Q2,41.39
1503,2018Q2,41.07
1503,2018Q3,44.589999999999996
1503,2018Q4,45.39
1503,2019Q2,42.745000000000005
1503,NaT,48.82333333333333
1504,2017Q1,28.8325
1504,2017Q2,24.18
1504,2017Q4,22.665
1504,2018Q1,18.05
1504,2018Q2,20.04
1504,2019Q2,22.78
1504,2019Q3,24.94
1504,2019Q4,26.59
1504,2020Q1,24.94
1504,NaT,28.643333333333334
1506,2017Q1,20.1
1506,2017Q2,22.32
1506,2017Q3,20.66
1506,2018Q2,21.313333333333333
1506,2018Q4,16.54
1506,2019Q1,14.69
1506,2019Q2,11.32
1506,NaT,11.643333333333333
1507,2017Q1,50.87
1507,2017Q2,52.68
1507,2017Q3,57.01
1507,2017Q4,52.99
1507,2018Q1,58.89
1507,2019Q1,61.68
1507,2019Q2,69.03
1507,2019Q3,61.56
1507,NaT,57.65
1512,2017Q1,7.67
1512,2017Q2,12.585
1513,2017Q1,20.54
1513,2017Q2,20.76
1513,2017Q3,22.19333333333333
1513,2018Q2,20.405
1513,2018Q4,20.71
1513,2019Q4,22.74
1513,2020Q1,22.76
1513,NaT,44.413333333333334
1514,2016Q3,10.37
1514,2017Q2,10.335
1514,2017Q4,11.74
1514,2018Q1,12.44
1514,2018Q2,14.9475
1514,2019Q2,16.63
1514,2019Q3,17.509999999999998
