公司代號,公司名稱,日期,季底月均價,日期_西元,year_quarter
9945,潤泰新RUENTEX DEVELOP,107/10/08,46.72,2018-10-08,2018Q4
9955,佳龍SDTI,107/01/02,12.77,2018-01-02,2018Q1
1101,臺灣水泥        (普 通)TCC common,107/05/21,39.34,2018-05-21,2018Q2
1101B,臺灣水泥        (特 別)TCC preferred,108/03/29,51.46,2019-03-29,2019Q1
1102,亞洲水泥ACC,107/08/27,38.83,2018-08-27,2018Q3
1103,嘉新水泥CHC,107/08/14,14.57,2018-08-14,2018Q3
1104,環球水泥UCC,107/04/03,19.77,2018-04-03,2018Q2
1108,幸福水泥Lucky Cement,107/05/29,7.44,2018-05-29,2018Q2
1109,信大水泥HsingTa,107/07/30,14.02,2018-07-30,2018Q3
1110,東南水泥TUNA CEMENT,107/12/24,16.31,2018-12-24,2018Q4
1201,味全食品Wei-Chuan,107/04/11,23.78,2018-04-11,2018Q2
1203,味王Ve Wong,108/02/27,26.09,2019-02-27,2019Q1
1210,大成長城GREATWALL,107/05/16,34.46,2018-05-16,2018Q2
1213,大飲Oceanic Beverages,107/05/18,11.07,2018-05-18,2018Q2
1215,卜蜂企業CPE,107/04/02,52.18,2018-04-02,2018Q2
1216,統一企業PEC,107/07/18,73.29,2018-07-18,2018Q3
1217,愛之味AGV,107/06/07,7.21,2018-06-07,2018Q2
1218,泰山TAISUN,107/06/22,18.36,2018-06-22,2018Q2
1219,福壽FWUSOW,107/05/25,18.41,2018-05-25,2018Q2
1220,台榮TAIROUN,107/06/28,11.06,2018-06-28,2018Q2
1225,福懋油脂FOPCO,107/07/18,66.31,2018-07-18,2018Q3
1227,佳格食品S.F.C,107/04/10,52.13,2018-04-10,2018Q2
1229,聯華實業LHIC,107/08/24,32.46,2018-08-24,2018Q3
1231,聯華食品Lian Hwa Foods,108/03/29,41.63,2019-03-29,2019Q1
1232,大統益TTET,108/03/29,101.13,2019-03-29,2019Q1
1233,天仁Ten Ren,107/11/29,38.73,2018-11-29,2018Q4
1234,黑松Hey-Song,108/03/26,31.49,2019-03-26,2019Q1
1235,興泰Shin Tai,107/11/07,28.49,2018-11-07,2018Q4
1236,宏亞食品Hunya Foods,107/04/13,14.27,2018-04-13,2018Q2
1256,鮮活果汁-KYSunjuice,107/05/24,171.51,2018-05-24,2018Q2
1702,南僑投控NAMCHOW,107/06/06,54.06,2018-06-06,2018Q2
1737,臺鹽TAIYEN,107/10/02,31.28,2018-10-02,2018Q4
