公司代號,年度,月份,加權(A/B)平均價,year_quarter
1229,114,3,50.9,2025Q1
1229,114,6,,2025Q2
1229,114,9,,2025Q3
1229,114,12,,2025Q4
1231,105,3,29.72,2016Q1
1231,105,6,31.39,2016Q2
1231,105,9,29.56,2016Q3
1231,105,12,31.02,2016Q4
1231,106,3,33.56,2017Q1
1231,106,6,35.62,2017Q2
1231,106,9,33.73,2017Q3
1231,106,12,33.48,2017Q4
1231,107,3,35.01,2018Q1
1231,107,6,38.02,2018Q2
1231,107,9,36.08,2018Q3
1231,107,12,36.65,2018Q4
1231,108,3,41.62,2019Q1
1231,108,6,45.57,2019Q2
1231,108,9,42.59,2019Q3
1231,108,12,41.54,2019Q4
1231,109,3,36.79,2020Q1
1231,109,6,42.55,2020Q2
1231,109,9,41.67,2020Q3
1231,109,12,45.42,2020Q4
1231,110,3,52.74,2021Q1
1231,110,6,62.24,2021Q2
1231,110,9,68.96,2021Q3
1231,110,12,68.75,2021Q4
